BFS_NR_GEMEINDE;GEMEINDE_NAME;Jahr;Abschoepfung_in_CHF;Auszahlung_Mindestausstattung_in_CHF;Lastenausgleich_Sozialhilfe_in_CHF;Lastenausgleich_Flaeche_in_CHF;Lastenausgleich_Besondere_Belastungen_in_CHF;Auszahlung_Abschoepfung_in_CHF
4781;WŠngi ;2015; ;; ; ;;
4621;Warth-Weiningen ;2015;251383;; ; ;;251383
4946;Weinfelden;2015;33364;; ; ;;33364
4951;Wigoltingen ;2015; ;-22687; ;-106490;;-129177
4786;Wilen;2015; ;; ; ;;
4791;Wuppenau;2015; ;-268816; ;-171457;;-440273
4511;Zihlschlacht-Sitterdorf ;2015;447134;; ; ;;447134
4551;Aadorf;2014;;;;;;
4711;Affeltrangen;2014;;-146323; ; ;;-146323
4641;Altnau;2014;;;;;;
4881;Amlikon-Bissegg;2014;;-160464; ;-209783;-40000;-410247
4461;Amriswil;2014;;-2662405;-202176; ;;-2864581
4401;Arbon;2014;;-326151;-897792; ;-350000;-1573943
4536;Basadingen-Schlattingen;2014;;; ;-149903;;-149903
4891;Berg;2014;;;;;;
4801;Berlingen;2014;34806;; ; ;;34806
4716;Bettwiesen;2014;8340;; ; ;;8340
4721;Bichelsee-Balterswil ;2014;;;;;;
4901;Birwinken;2014;;-382852; ;-151455;;-534307
4471;Bischofszell;2014;;;;;;
4643;Bottighofen;2014;731106;;-16936; ;;714170
4723;Braunau;2014;;-121945; ;-112556;;-234501
4911;BŸrglen ;2014;;;;;;
4921;Bussnang;2014;27283;; ;-150696;;-123413
4545;Diessenhofen;2014;15813;;-113504; ;;-97691
4406;Dozwil;2014;;-45783; ; ;;-45783
4411;Egnach;2014;;;;;;
4476;Erlen;2014;;-433326; ; ;;-433326
4646;Ermatingen;2014;268188;; ; ;;268188
4806;Eschenz;2014;;; ;-73198;;-73198
4724;Eschlikon;2014;;;;;;
4561;Felben-Wellhausen;2014;;;;;;
4726;Fischingen;2014;;-117856;-101600;-467360;-125000;-811816
