BFS_NR_GEMEINDE;GEMEINDE_NAME;Jahr;Auszahlung_Abschoepfung_in_CHF;Auszahlung_Abschoepfung_in_CHF_pro_Einwohner;;;;;;
4701;Waeldi;2014;-158746;-161;;;;;;
4781;Waengi;2014;;0;;;;;;
4621;Warth-Weiningen;2014;167838;138;;;;;;
4946;Weinfelden;2014;84348;8;;;;;;
4951;Wigoltingen;2014;-203671;-90;;;;;;
4786;Wilen;2014;;0;;;;;;
4791;Wuppenau;2014;-459478;-419;;;;;;
4511;Zihlschlacht-Sitterdorf;2014;45054;21;;;;;;
4551;Aadorf;2013;;;;;;;;
4711;Affeltrangen;2013;-132852;-56;;;;;;
4641;Altnau;2013;;;;;;;;
4881;Amlikon-Bissegg;2013;-434238;-338;;;;;;
4461;Amriswil;2013;-3016349;-241;;;;;;
4401;Arbon;2013;-2054059;-148;;;;;;
4536;Basadingen-Schlattingen;2013;-196880;-115;;;;;;
4891;Berg;2013;;;;;;;;
4801;Berlingen;2013;40988;48;;;;;;
4716;Bettwiesen;2013;;;;;;;;
4721;Bichelsee-Balterswil;2013;;;;;;;;
4901;Birwinken;2013;-538865;-404;;;;;;
4471;Bischofszell;2013;-133104;-24;;;;;;
4643;Bottighofen;2013;685704;325;;;;;;
4723;Braunau;2013;-277254;-390;;;;;;
4911;Buerglen;2013;-27376;-8;;;;;;
4921;Bussnang;2013;-157843;-73;;;;;;
4545;Diessenhofen;2013;-57817;-16;;;;;;
4406;Dozwil;2013;;;;;;;;
4411;Egnach;2013;;;;;;;;
4476;Erlen;2013;-402993;-125;;;;;;
4646;Ermatingen;2013;265437;88;;;;;;
4806;Eschenz;2013;-156906;-96;;;;;;
4724;Eschlikon;2013;;;;;;;;
4561;Felben-Wellhausen;2013;-20288;-8;;;;;;
4726;Fischingen;2013;-896585;-348;;;;;;
4566;Frauenfeld;2013;-328710;-14;;;;;;
4571;Gachnang;2013;55900;16;;;;;;
4651;Gottlieben;2013;38446;132;;;;;;
4656;Guettingen;2013;6629;5;;;;;;
4486;Hauptwil-Gottshaus;2013;-408659;-218;;;;;;
4416;Hefenhofen;2013;-355230;-292;;;;;;
4811;Herdern;2013;-198513;-207;;;;;;
4495;Hohentannen;2013;-305533;-506;;;;;;
4816;Homburg;2013;-432975;-294;;;;;;
4421;Horn;2013;229371;89;;;;;;
4590;Huettlingen;2013;-302128;-369;;;;;;
4821;Huettwilen;2013;-236579;-152;;;;;;
4666;Kemmental;2013;-368690;-161;;;;;;
4426;Kesswil;2013;1329;1;;;;;;
4501;Kradolf-Schoenenberg;2013;-483652;-147;;;;;;
4671;Kreuzlingen;2013;-559353;-27;;;;;;
4681;Langrickenbach;2013;-405731;-354;;;;;;
4683;Lengwil;2013;;;;;;;;
4741;Lommis;2013;-47248;-42;;;;;;
4826;Mammern;2013;-17647;-29;;;;;;
4941;Maerstetten;2013;;;;;;;;
4591;Matzingen;2013;;;;;;;;
4831;Muellheim;2013;-59319;-22;;;;;;
4746;Muenchwilen;2013;;;;;;;;
4691;Muensterlingen;2013;136532;45;;;;;;
4601;Neunforn;2013;-155899;-164;;;;;;
4841;Pfyn;2013;-188274;-97;;;;;;
4846;Raperswilen;2013;-178872;-444;;;;;;
4751;Rickenbach;2013;-103720;-40;;;;;;
4431;Roggwil;2013;96292;33;;;;;;
4436;Romanshorn;2013;-539360;-53;;;;;;
4851;Salenstein;2013;322154;256;;;;;;
4441;Salmsach;2013;-259886;-196;;;;;;
4546;Schlatt;2013;-277298;-171;;;;;;
4756;Schoenholzerswilen;2013;-507325;-635;;;;;;
4761;Sirnach;2013;;;;;;;;
4446;Sommeri;2013;-199946;-395;;;;;;
4864;Steckborn;2013;-227560;-62;;;;;;
4606;Stettfurt;2013;50240;44;;;;;;
4506;Sulgen;2013;;;;;;;;
4696;Taegerwilen;2013;119589;29;;;;;;
4611;Thundorf;2013;-244168;-184;;;;;;
4776;Tobel-Taegerschen;2013;-160076;-113;;;;;;
4616;Uesslingen-Buch;2013;-196144;-184;;;;;;
4451;Uttwil;2013;27999;16;;;;;;
4871;Wagenhausen;2013;-326914;-198;;;;;;
4701;Waeldi;2013;-182712;-184;;;;;;
4781;Waengi;2013;;;;;;;;
4621;Warth-Weiningen;2013;142626;118;;;;;;
4946;Weinfelden;2013;151322;14;;;;;;
4951;Wigoltingen;2013;-179889;-80;;;;;;
4786;Wilen;2013;;;;;;;;
4791;Wuppenau;2013;-539800;-497;;;;;;
4511;Zihlschlacht-Sitterdorf;2013;28231;13;;;;;;
